City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
68,Provideniya,RU,64.3833,-173.3,44.11,86,100,7.2,overcast clouds
69,Arraial Do Cabo,BR,-22.9661,-42.0278,70.09,87,44,20.15,scattered clouds
70,Nome,US,64.5011,-165.4064,55.17,75,100,1.9,overcast clouds
71,Lakes Entrance,AU,-37.8811,147.981,64.17,64,93,8.01,overcast clouds
72,Gizo,SB,-8.103,156.8419,83.93,72,27,8.28,scattered clouds
73,Lagoa,PT,39.05,-27.9833,72.5,91,0,7.18,clear sky
74,Bella Union,UY,-30.2752,-57.6007,65.75,91,32,6.33,light rain
75,Mount Gambier,AU,-37.8333,140.7667,55.31,88,100,18.41,overcast clouds
76,Baoro,CF,5.6667,15.9667,68.25,96,100,1.52,light rain
77,Oksfjord,NO,70.2396,22.3479,53.01,77,42,7.56,scattered clouds
78,Melbu,NO,68.5044,14.8297,55.18,75,100,6.24,overcast clouds
79,Bredasdorp,ZA,-34.5322,20.0403,45.0,86,0,5.06,clear sky
80,Netivot,IL,31.4222,34.5886,80.6,57,0,4.14,clear sky
81,Trat,TH,12.5,102.5,90.36,61,42,0.87,scattered clouds
82,Moose Factory,CA,51.2585,-80.6094,48.92,91,61,1.79,broken clouds
83,Vostok,RU,46.4856,135.8833,68.45,89,95,3.29,overcast clouds
84,Emirdag,TR,39.0197,31.15,69.73,39,0,3.89,clear sky
85,Sorland,NO,67.667,12.6934,53.46,81,100,16.71,light rain
86,Margate,GB,51.3813,1.3862,66.31,82,92,5.01,overcast clouds
87,Bonthe,SL,7.5264,-12.505,75.33,85,100,7.7,light rain
88,Obo,CF,5.3998,26.4869,70.95,94,100,0.87,overcast clouds
89,Santa Maria,BR,-29.6842,-53.8069,65.53,91,69,4.25,broken clouds
90,La Ronge,CA,55.1001,-105.2842,53.47,98,100,4.52,overcast clouds
91,Kirakira,SB,-10.4544,161.9205,83.39,75,28,8.23,scattered clouds
92,Clyde River,CA,70.4692,-68.5914,43.03,93,75,2.3,light rain
93,Noshiro,JP,40.2039,140.0242,79.25,66,44,6.22,scattered clouds
94,Dingle,PH,10.9995,122.6711,85.66,75,90,3.56,moderate rain
95,Lorengau,PG,-2.0226,147.2712,85.03,70,49,9.01,scattered clouds
96,Petawawa,CA,45.9001,-77.3328,68.79,91,56,5.77,broken clouds
97,Khatanga,RU,71.9667,102.5,76.44,61,96,11.7,overcast clouds
98,Hofn,IS,64.2539,-15.2082,49.6,90,99,6.78,overcast clouds
99,Castro,BR,-24.7911,-50.0119,55.96,76,95,3.11,overcast clouds
100,Ostrovnoy,RU,68.0531,39.5131,53.83,73,100,13.31,overcast clouds
101,Port Augusta,AU,-32.5,137.7667,63.63,31,28,15.03,scattered clouds
102,Pisco,PE,-13.7,-76.2167,57.02,87,42,0.16,scattered clouds
103,Dikson,RU,73.5069,80.5464,50.05,84,100,8.08,overcast clouds
104,Frontera,MX,26.9333,-101.45,87.33,47,3,8.99,clear sky
105,Vila Velha,BR,-20.3297,-40.2925,66.94,94,9,3.27,clear sky
106,Moosomin,CA,50.1333,-101.6677,51.98,91,35,7.67,scattered clouds
107,Ballina,AU,-28.8667,153.5667,68.02,71,23,5.7,few clouds
108,Kuching,MY,1.55,110.3333,88.02,74,40,3.44,scattered clouds
109,Avarua,CK,-21.2078,-159.775,68.05,68,40,6.91,scattered clouds
110,Jumla,NP,29.2747,82.1838,69.66,78,91,4.38,overcast clouds
111,Birao,CF,10.2849,22.7882,74.55,87,75,4.68,broken clouds
112,Bathsheba,BB,13.2167,-59.5167,80.06,95,71,14.14,broken clouds
113,Ilulissat,GL,69.2167,-51.1,36.27,98,97,2.13,overcast clouds
114,Evensk,RU,61.95,159.2333,60.3,57,12,9.04,few clouds
115,Hermanus,ZA,-34.4187,19.2345,48.96,75,0,11.45,clear sky
116,Bowen,AU,-20.0167,148.2333,70.92,71,7,12.68,clear sky
117,Mareeba,AU,-17.0,145.4333,74.12,67,1,6.98,clear sky
118,Tabuk,PH,17.4189,121.4443,90.93,57,95,3.09,overcast clouds
119,Robertsport,LR,6.7533,-11.3686,75.34,81,100,8.43,overcast clouds
120,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,71.53,99,90,2.28,light rain
121,Touros,BR,-5.1989,-35.4608,71.89,80,46,16.84,scattered clouds
122,Katsuura,JP,35.1333,140.3,82.38,84,100,14.12,overcast clouds
123,Tessalit,ML,20.1986,1.0114,86.83,33,36,7.34,scattered clouds
124,Chuy,UY,-33.6971,-53.4616,57.94,97,100,3.98,overcast clouds
125,Atbasar,KZ,51.8,68.3333,82.81,32,0,6.8,clear sky
126,Dauphin,CA,51.1494,-100.0502,53.24,89,27,7.38,scattered clouds
127,Kristiinankaupunki,FI,62.2743,21.376,63.52,66,74,11.21,broken clouds
128,Chokurdakh,RU,70.6333,147.9167,72.7,30,34,11.86,scattered clouds
129,San Quintin,MX,30.4833,-115.95,66.69,85,90,11.25,overcast clouds
130,Niquelandia,BR,-14.4739,-48.4597,67.24,52,2,4.16,clear sky
131,Sobolevo,RU,54.4299,31.8996,62.62,87,31,8.77,scattered clouds
132,Vila Franca Do Campo,PT,37.7167,-25.4333,75.2,90,39,3.42,scattered clouds
133,Nanakuli,US,21.3906,-158.1547,78.12,72,6,13.85,clear sky
134,Morwell,AU,-38.2333,146.4,57.4,86,86,3.38,moderate rain
135,Tomatlan,MX,19.9333,-105.25,76.3,94,57,1.59,broken clouds
136,Fuyang,CN,32.9,115.8167,94.77,55,0,7.23,clear sky
137,Baherden,TM,38.4362,57.4316,91.36,38,36,9.64,scattered clouds
138,Zhoukou,CN,33.6333,114.6333,94.96,53,2,8.03,clear sky
139,Bontang,ID,0.1333,117.5,81.28,82,71,5.03,light rain
140,Kodiak,US,57.79,-152.4072,56.71,88,20,10.36,few clouds
141,Victoria,HK,22.2855,114.1577,96.85,74,11,7.0,few clouds
142,Mahajanga,MG,-15.7167,46.3167,74.3,52,2,9.93,clear sky
143,Kabalo,CD,-6.05,26.9167,80.4,37,90,6.2,overcast clouds
144,Avera,US,33.194,-82.5271,74.55,85,78,7.2,broken clouds
145,Ilula,TZ,-7.6766,36.0366,62.26,70,18,7.09,few clouds
146,Marabba,SD,12.35,32.1833,75.22,79,100,11.65,overcast clouds
147,Ust-Kuyga,RU,70.0167,135.6,77.7,43,61,2.91,broken clouds
148,Erenhot,CN,43.6475,111.9767,86.72,21,100,17.05,overcast clouds
149,Jamestown,US,42.097,-79.2353,70.02,85,100,9.22,moderate rain
150,Port Alfred,ZA,-33.5906,26.891,58.41,59,68,2.71,broken clouds
151,Okhotsk,RU,59.3833,143.3,54.84,91,100,7.72,overcast clouds
152,Haines Junction,CA,60.7522,-137.5108,47.77,91,100,3.44,overcast clouds
153,New Norfolk,AU,-42.7826,147.0587,56.71,79,73,3.0,broken clouds
154,Shestakovo,RU,56.4915,103.96,74.89,51,100,5.3,overcast clouds
155,Hirara,JP,24.8,125.2833,85.23,72,22,3.69,few clouds
156,Cherskiy,RU,68.75,161.3,64.38,37,23,9.69,few clouds
157,Ponta Delgada,PT,37.7333,-25.6667,75.51,100,40,4.61,scattered clouds
158,Iqaluit,CA,63.7506,-68.5145,41.7,100,95,5.01,overcast clouds
159,Birin,NP,26.8865,88.0718,70.05,84,80,5.37,broken clouds
160,Puerto Ayora,EC,-0.7393,-90.3518,69.55,92,97,5.99,overcast clouds
161,Quincy,US,42.2529,-71.0023,83.46,80,75,12.66,broken clouds
162,Tarakan,ID,3.3,117.6333,83.25,72,87,8.57,overcast clouds
163,Namatanai,PG,-3.6667,152.4333,83.14,76,29,10.98,light rain
164,Kribi,CM,2.95,9.9167,75.0,85,100,7.07,overcast clouds
165,Port Macquarie,AU,-31.4333,152.9167,61.9,67,47,7.05,scattered clouds
166,Coquimbo,CL,-29.9533,-71.3436,53.96,87,70,2.44,broken clouds
167,Fort Nelson,CA,58.8053,-122.7002,60.22,67,100,10.09,overcast clouds
168,Staunton,US,38.1496,-79.0717,78.89,76,0,6.91,clear sky
169,Sao Raimundo Das Mangabeiras,BR,-7.0219,-45.4811,70.29,54,56,1.54,broken clouds
170,Clinton,US,42.587,-82.9199,74.95,86,27,5.01,scattered clouds
