City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
487,Saint-Georges,GD,77.95,broken clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
489,Marawi,PH,78.3,broken clouds,7.9986,124.2928,Derogongan Residence
491,Maturin,VE,70.9,broken clouds,9.75,-63.1767,Hotel Residencial La Pichincha
500,Najran,SA,77.65,overcast clouds,17.4924,44.1277,محمد هادي ال فطيح
507,Kamloops,CA,76.57,broken clouds,50.6665,-120.3192,Ramada by Wyndham Kamloops
512,Sabha,LY,77.2,clear sky,27.0377,14.4283,محطة ام الارانب -سبها مواصلات
513,Tatawin,TN,77.97,clear sky,32.9297,10.4518,Sangho Privilege Tataouine
515,Beatrice,US,70.45,clear sky,40.2681,-96.747,Victorian Inn Beatrice
516,Khasan,RU,72.0,broken clouds,42.4308,130.6434,Fangchuan Self-Driving Camp
520,Bukoba,TZ,70.39,overcast clouds,-1.3317,31.8122,Elct Bukoba Hotel and Tours
522,Portland,US,79.38,clear sky,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
530,Saint-Joseph,RE,74.21,clear sky,-21.3667,55.6167,"""Plantation Bed and Breakfast"
531,Canto Do Buriti,BR,73.44,broken clouds,-8.11,-42.9444,Novo Hotel
532,Kyren,RU,71.6,overcast clouds,51.6828,102.1408,"Energetik, Pansionat Ooo ""Grand Baykal"""
533,Bagan,RU,73.63,broken clouds,54.1001,77.6646,Motel'
535,Praia,CV,77.54,broken clouds,14.9215,-23.5087,LT Aparthotel
538,Dire Dawa,ET,74.59,scattered clouds,9.5931,41.8661,Samrat Hotel
540,Deputatskiy,RU,70.5,overcast clouds,69.3,139.9,Baza Otdykha
545,Souillac,MU,71.98,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
553,Kurchum,KZ,76.32,clear sky,48.5722,83.6542,"""Kneda"" Hotel"
554,Progreso,MX,76.1,overcast clouds,21.2833,-89.6667,Playa Linda Hotel
556,Gurupa,BR,72.75,broken clouds,-1.405,-51.64,Hotel Vitória
559,Ulaangom,MN,72.88,scattered clouds,49.9811,92.0667,Achit Nuur Hotel & Restaurant
564,Nacala,MZ,76.14,few clouds,-14.5428,40.6728,Nacala Plaza Business Design Hotel
568,Kibala,TD,74.86,overcast clouds,9.1104,18.3463,Prasant Hotels
572,Russell,US,74.8,scattered clouds,32.3502,-85.1999,Macs
575,Manaure,CO,79.84,overcast clouds,11.7751,-72.4445,Hotel Palaaima
576,Iberia,US,78.87,scattered clouds,29.9502,-91.7507,back to back rv park
578,Smirnykh,RU,79.14,clear sky,49.75,142.8333,Tsentral'naya
581,Camargo,MX,75.51,broken clouds,27.6667,-105.1667,Hotel Santa Fe
583,Jacareacanga,BR,71.87,clear sky,-6.2222,-57.7528,Casa do Ian😎
584,Gloversville,US,70.36,light rain,43.0528,-74.3438,"Holiday Inn Johnstown-Gloversville, an IHG Hotel"
589,Carauari,BR,70.95,few clouds,-4.8828,-66.8958,Hotel Fellip
592,Bethel,US,79.63,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
593,Nhamunda,BR,74.52,few clouds,-2.1861,-56.7131,Pousada Da Praia
594,Pierre,US,73.85,clear sky,44.3683,-100.351,Ramkota Hotel
596,Riachao,BR,70.97,broken clouds,-7.3619,-46.6172,Pousada Nordestina
599,Xining,CN,74.8,clear sky,36.6167,101.7667,Super Leisure Hotel
603,Les Cayes,HT,78.12,scattered clouds,18.2,-73.75,Villa Orphee
606,Wufeng,CN,78.98,scattered clouds,27.45,104.8333,中山宾馆
618,Sao Filipe,CV,77.34,light rain,14.8961,-24.4956,Hotel Xaguate
619,Noumea,NC,75.99,scattered clouds,-22.2763,166.4572,Hôtel Le Lagon
620,Puerto Del Rosario,ES,74.95,clear sky,28.5004,-13.8627,Hotel JM Puerto del Rosario
623,Tonj,SS,74.26,overcast clouds,7.2737,28.6822,Lakan Hotel
625,Lewistown,US,75.34,clear sky,40.5992,-77.5714,Quality Inn & Suites
631,Alofi,NU,71.49,broken clouds,-19.0595,-169.9187,Taloa Heights
632,North Platte,US,74.12,clear sky,41.1239,-100.7654,"Holiday Inn Express & Suites North Platte, an IHG Hotel"
634,Santarem,BR,75.33,clear sky,-2.4431,-54.7083,Hotel Imperador
635,Cartagena,CO,79.39,scattered clouds,10.3997,-75.5144,Hotel Colombia Real - Cartagena
636,Soe,ID,75.94,clear sky,-9.8607,124.284,Dena Hotel
640,Champerico,GT,77.7,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
652,Le Port,RE,75.2,scattered clouds,-20.9373,55.2919,KORBEY D'OR OUEST
658,Puerto Carreno,CO,74.48,light rain,6.189,-67.4859,Casa Hotel Victoria
662,Barao De Melgaco,BR,72.43,clear sky,-16.1944,-55.9675,Tuiuiu Pantanal Hotel
665,Hargeysa,SO,73.6,broken clouds,9.56,44.065,City Center Hotel
670,Mountain Home,US,71.08,clear sky,43.133,-115.6912,Mountain Home Inn
674,Roebourne,AU,77.65,clear sky,-20.7833,117.1333,Latitude20 Roebourne Village
678,Lesnoy,RU,79.86,clear sky,57.6198,63.0784,Apartamenty Na Sovetskoy
681,Ambilobe,MG,78.75,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
683,Loandjili,CG,71.71,overcast clouds,-4.7561,11.8578,Résidence ARCHANGE
689,Kushiro,JP,74.35,few clouds,42.975,144.3747,Toyoko Inn Kushiro Jujigai
693,Tagbac,PH,79.48,overcast clouds,7.089,125.1567,Sitio Maupot Family Resort
695,Monrovia,LR,74.97,overcast clouds,6.3005,-10.7969,Sunset Inn
698,Agbor,NG,71.37,light rain,6.2518,6.1934,MIRAMAS HOTEL
